Accession;Peptides;Score;Anova (p)*;Fold;Fractions;Description;A14D;A14R
RBP2_HUMAN;2 (2);36.39;0.09;2.17;123;E3 SUMO-protein ligase RanBP2 OS=Homo sapiens GN=RANBP2 PE=1 SV=2;4.45e+004;2.05e+004
TPM1_HUMAN;13 (3);790.71;0.09;2.05;123;Tropomyosin alpha-1 chain OS=Homo sapiens GN=TPM1 PE=1 SV=2;3.18e+004;6.51e+004
CA123_HUMAN;2 (2);53.19;0.09;2.03;123;UPF0587 protein C1orf123 OS=Homo sapiens GN=C1orf123 PE=1 SV=1;4124.09;8377.06
RMD1_HUMAN;2 (2);50.74;0.09;2.02;123;Regulator of microtubule dynamics protein 1 OS=Homo sapiens GN=RMDN1 PE=1 SV=1;2519.09;5083.88
THBG_HUMAN;3 (3);146.28;0.09;10.88;123;Thyroxine-binding globulin OS=Homo sapiens GN=SERPINA7 PE=1 SV=2;7007.08;644.23
AIDA_HUMAN;1 (1);33.92;0.09;10.52;123;Axin interactor, dorsalization-associated protein OS=Homo sapiens GN=AIDA PE=1 SV=1;99.74;1048.77
TGFB2_HUMAN;6 (5);268.18;0.09;1.83;123;Transforming growth factor beta-2 OS=Homo sapiens GN=TGFB2 PE=1 SV=1;7283.26;1.33e+004
FANK1_HUMAN;1 (1);21.93;0.09;1.75;123;Fibronectin type 3 and ankyrin repeat domains protein 1 OS=Homo sapiens GN=FANK1 PE=2 SV=3;8886.95;1.55e+004
ATS5_HUMAN;2 (2);57.00;0.09;1.54;123;A disintegrin and metalloproteinase with thrombospondin motifs 5 OS=Homo sapiens GN=ADAMTS5 PE=1 SV=2;2290.62;1488.57
RCN1_HUMAN;7 (7);332.37;0.09;1.47;123;Reticulocalbin-1 OS=Homo sapiens GN=RCN1 PE=1 SV=1;1.57e+004;2.31e+004
XYLT1_HUMAN;6 (6);198.35;0.09;1.20;123;Xylosyltransferase 1 OS=Homo sapiens GN=XYLT1 PE=1 SV=1;6806.63;8194.93
PPIA_HUMAN;20 (20);1016.37;0.09;1.14;123;Peptidyl-prolyl cis-trans isomerase A OS=Homo sapiens GN=PPIA PE=1 SV=2;3.13e+005;3.56e+005
PDE9A_HUMAN;1 (1);30.30;0.08;8.14;123;High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A OS=Homo sapiens GN=PDE9A PE=1 SV=1;154.45;1257.73
NU155_HUMAN;2 (2);40.78;0.08;8.09;123;Nuclear pore complex protein Nup155 OS=Homo sapiens GN=NUP155 PE=1 SV=1;6509.03;5.26e+004
CAB39_HUMAN;3 (2);84.11;0.08;6.76;123;Calcium-binding protein 39 OS=Homo sapiens GN=CAB39 PE=1 SV=1;480.69;3251.18
Z280B_HUMAN;3 (3);64.82;0.08;6.05;123;Zinc finger protein 280B OS=Homo sapiens GN=ZNF280B PE=1 SV=2;1.81e+005;2.99e+004
K2C4_HUMAN;3 (2);131.84;0.08;5.95;123;Keratin, type II cytoskeletal 4 OS=Homo sapiens GN=KRT4 PE=1 SV=4;126.17;750.36
CROCC_HUMAN;2 (1);63.76;0.08;5.35;123;Rootletin OS=Homo sapiens GN=CROCC PE=1 SV=1;1.42e+005;2.66e+004
DYH7_HUMAN;2 (2);33.50;0.08;5.15;123;Dynein heavy chain 7, axonemal OS=Homo sapiens GN=DNAH7 PE=1 SV=2;7.83e+004;1.52e+004
PDXK_HUMAN;3 (3);157.78;0.08;4.75;123;Pyridoxal kinase OS=Homo sapiens GN=PDXK PE=1 SV=1;4599.69;2.19e+004
ZN618_HUMAN;2 (2);42.38;0.08;4.66;123;Zinc finger protein 618 OS=Homo sapiens GN=ZNF618 PE=1 SV=1;4.62e+006;9.91e+005
CNPY2_HUMAN;7 (7);253.16;0.08;4.18;123;Protein canopy homolog 2 OS=Homo sapiens GN=CNPY2 PE=1 SV=1;6377.09;2.66e+004
GRIA3_HUMAN;1 (1);21.95;0.08;4.10;123;Glutamate receptor 3 OS=Homo sapiens GN=GRIA3 PE=1 SV=2;6424.49;2.64e+004
CSN7A_HUMAN;3 (3);139.57;0.08;4.01;123;COP9 signalosome complex subunit 7a OS=Homo sapiens GN=COPS7A PE=1 SV=1;977.52;3917.72
DHX37_HUMAN;1 (1);16.82;0.08;3.72;123;Probable ATP-dependent RNA helicase DHX37 OS=Homo sapiens GN=DHX37 PE=1 SV=1;1.01e+005;2.71e+004
NRCAM_HUMAN;4 (4);168.47;0.08;3.52;123;Neuronal cell adhesion molecule OS=Homo sapiens GN=NRCAM PE=1 SV=3;1190.03;4191.43
DLDH_HUMAN;1 (1);17.71;0.08;3.43;123;Dihydrolipoyl dehydrogenase, mitochondrial OS=Homo sapiens GN=DLD PE=1 SV=2;2541.08;8720.32
RSMB_HUMAN;2 (2);76.49;0.08;3.28;123;Small nuclear ribonucleoprotein-associated proteins B and B' OS=Homo sapiens GN=SNRPB PE=1 SV=2;2279.13;7480.69
HNRDL_HUMAN;1 (1);38.76;0.08;3.25;123;Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens GN=HNRNPDL PE=1 SV=3;1634.55;5319.29
OR1L3_HUMAN;2 (2);44.95;0.08;3.23;123;Olfactory receptor 1L3 OS=Homo sapiens GN=OR1L3 PE=2 SV=1;1.29e+006;4.00e+005
NPM_HUMAN;8 (8);429.13;0.08;3.21;123;Nucleophosmin OS=Homo sapiens GN=NPM1 PE=1 SV=2;1.25e+004;3.99e+004
GALM_HUMAN;1 (1);30.60;0.08;3.07;123;Aldose 1-epimerase OS=Homo sapiens GN=GALM PE=1 SV=1;2.07e+004;6735.36
PDZD8_HUMAN;1 (1);30.59;0.08;3.07;123;PDZ domain-containing protein 8 OS=Homo sapiens GN=PDZD8 PE=1 SV=1;9166.30;2989.34
PROZ_HUMAN;1 (1);17.91;0.08;22.00;123;Vitamin K-dependent protein Z OS=Homo sapiens GN=PROZ PE=1 SV=2;5.26e+004;2390.52
U2AF1_HUMAN;1 (1);34.07;0.08;212.70;123;Splicing factor U2AF 35 kDa subunit OS=Homo sapiens GN=U2AF1 PE=1 SV=3;15.92;3387.17
PRKDC_HUMAN;5 (5);93.71;0.08;21.29;123;DNA-dependent protein kinase catalytic subunit OS=Homo sapiens GN=PRKDC PE=1 SV=3;2.93e+006;1.37e+005
PPCE_HUMAN;1 (1);35.86;0.08;2.95;123;Prolyl endopeptidase OS=Homo sapiens GN=PREP PE=1 SV=2;775.14;2284.34
UFO_HUMAN;5 (5);214.05;0.08;2.76;123;Tyrosine-protein kinase receptor UFO OS=Homo sapiens GN=AXL PE=1 SV=3;3.78e+005;1.37e+005
COPB2_HUMAN;1 (1);16.36;0.08;2.67;123;Coatomer subunit beta' OS=Homo sapiens GN=COPB2 PE=1 SV=2;866.87;2311.95
PSA5_HUMAN;5 (5);241.92;0.08;2.60;123;Proteasome subunit alpha type-5 OS=Homo sapiens GN=PSMA5 PE=1 SV=3;9857.48;2.57e+004
LRP1B_HUMAN;2 (2);33.50;0.08;2.51;123;Low-density lipoprotein receptor-related protein 1B OS=Homo sapiens GN=LRP1B PE=1 SV=2;3714.42;9314.32
RPP29_HUMAN;2 (2);39.18;0.08;2.46;123;Ribonuclease P protein subunit p29 OS=Homo sapiens GN=POP4 PE=1 SV=2;1.86e+004;4.57e+004
BGAL_HUMAN;3 (3);97.79;0.08;2.30;123;Beta-galactosidase OS=Homo sapiens GN=GLB1 PE=1 SV=2;2462.81;5670.61
PPIB_HUMAN;21 (21);1213.36;0.08;2.13;123;Peptidyl-prolyl cis-trans isomerase B OS=Homo sapiens GN=PPIB PE=1 SV=2;1.86e+005;3.96e+005
EST1_HUMAN;1 (1);49.63;0.08;17.78;123;Liver carboxylesterase 1 OS=Homo sapiens GN=CES1 PE=1 SV=2;76.14;1353.53
UST_HUMAN;1 (1);31.91;0.08;16.50;123;Uronyl 2-sulfotransferase OS=Homo sapiens GN=UST PE=2 SV=1;119.19;1967.05
ILRL1_HUMAN;1 (1);38.65;0.08;15.47;123;Interleukin-1 receptor-like 1 OS=Homo sapiens GN=IL1RL1 PE=1 SV=4;128.57;1988.94
PSB10_HUMAN;1 (1);31.55;0.08;11.57;123;Proteasome subunit beta type-10 OS=Homo sapiens GN=PSMB10 PE=1 SV=1;749.08;8663.74
ABCA1_HUMAN;1 (1);30.09;0.08;100.27;123;ATP-binding cassette sub-family A member 1 OS=Homo sapiens GN=ABCA1 PE=1 SV=3;13.08;1311.43
MTUS1_HUMAN;2 (2);39.43;0.08;10.91;123;Microtubule-associated tumor suppressor 1 OS=Homo sapiens GN=MTUS1 PE=1 SV=2;3.75e+005;3.44e+004
FMOD_HUMAN;4 (4);200.12;0.08;1.80;123;Fibromodulin OS=Homo sapiens GN=FMOD PE=1 SV=2;1.74e+004;3.13e+004
SDCB1_HUMAN;5 (5);137.21;0.08;1.78;123;Syntenin-1 OS=Homo sapiens GN=SDCBP PE=1 SV=1;2078.89;3709.14
LFNG_HUMAN;2 (2);96.61;0.08;1.64;123;Beta-1,3-N-acetylglucosaminyltransferase lunatic fringe OS=Homo sapiens GN=LFNG PE=1 SV=2;1535.53;2524.89
LAMP1_HUMAN;4 (4);132.10;0.08;1.52;123;Lysosome-associated membrane glycoprotein 1 OS=Homo sapiens GN=LAMP1 PE=1 SV=3;2972.48;4511.15
CO4A3_HUMAN;1 (1);24.56;0.07;8.90;123;Collagen alpha-3(IV) chain OS=Homo sapiens GN=COL4A3 PE=1 SV=3;6786.06;762.06
FETA_HUMAN;7 (7);342.99;0.07;8.79;123;Alpha-fetoprotein OS=Homo sapiens GN=AFP PE=1 SV=1;4.41e+005;5.01e+004
C1QBP_HUMAN;1 (1);47.29;0.07;7.12;123;Complement component 1 Q subcomponent-binding protein, mitochondrial OS=Homo sapiens GN=C1QBP PE=1 SV=1;388.21;2765.40
PSMD2_HUMAN;2 (2);46.97;0.07;6.40;123;26S proteasome non-ATPase regulatory subunit 2 OS=Homo sapiens GN=PSMD2 PE=1 SV=3;306.62;1961.19
RB40C_HUMAN;1 (1);24.86;0.07;5.95;123;Ras-related protein Rab-40C OS=Homo sapiens GN=RAB40C PE=1 SV=1;7.22e+004;1.21e+004
RAD50_HUMAN;2 (2);49.88;0.07;5.87;123;DNA repair protein RAD50 OS=Homo sapiens GN=RAD50 PE=1 SV=1;1.65e+004;2810.13
SPD2A_HUMAN;1 (1);24.01;0.07;5.60;123;SH3 and PX domain-containing protein 2A OS=Homo sapiens GN=SH3PXD2A PE=1 SV=1;3.73e+004;6656.75
PGM2_HUMAN;3 (3);103.13;0.07;5.39;123;Phosphoglucomutase-2 OS=Homo sapiens GN=PGM2 PE=1 SV=4;4.81e+005;8.92e+004
PSA1_HUMAN;9 (9);319.57;0.07;5.17;123;Proteasome subunit alpha type-1 OS=Homo sapiens GN=PSMA1 PE=1 SV=1;1.81e+004;9.35e+004
TRFL_HUMAN;4 (4);167.02;0.07;4.84;123;Lactotransferrin OS=Homo sapiens GN=LTF PE=1 SV=6;5.19e+005;1.07e+005
PDCD6_HUMAN;2 (2);95.01;0.07;4.84;123;Programmed cell death protein 6 OS=Homo sapiens GN=PDCD6 PE=1 SV=1;9569.69;1975.33
TPC6B_HUMAN;1 (1);24.16;0.07;4.73;123;Trafficking protein particle complex subunit 6B OS=Homo sapiens GN=TRAPPC6B PE=1 SV=1;7.58e+004;1.60e+004
LKHA4_HUMAN;4 (4);156.94;0.07;4.25;123;Leukotriene A-4 hydrolase OS=Homo sapiens GN=LTA4H PE=1 SV=2;1056.80;4495.58
O13C9_HUMAN;1 (1);23.26;0.07;4.19;123;Olfactory receptor 13C9 OS=Homo sapiens GN=OR13C9 PE=2 SV=1;3.58e+005;8.55e+004
SUGT1_HUMAN;1 (1);31.22;0.07;3.76;123;Suppressor of G2 allele of SKP1 homolog OS=Homo sapiens GN=SUGT1 PE=1 SV=3;1322.38;4975.32
CC151_HUMAN;2 (2);50.51;0.07;3.69;123;Coiled-coil domain-containing protein 151 OS=Homo sapiens GN=CCDC151 PE=1 SV=1;2.26e+004;6143.59
FKBP9_HUMAN;2 (2);89.37;0.07;3.67;123;Peptidyl-prolyl cis-trans isomerase FKBP9 OS=Homo sapiens GN=FKBP9 PE=1 SV=2;2375.11;8723.25
IPYR_HUMAN;4 (3);189.33;0.07;28.00;123;Inorganic pyrophosphatase OS=Homo sapiens GN=PPA1 PE=1 SV=2;198.84;5567.65
PZP_HUMAN;4 (2);162.64;0.07;26.62;123;Pregnancy zone protein OS=Homo sapiens GN=PZP PE=1 SV=4;1.00e+006;3.77e+004
TIGAR_HUMAN;2 (2);92.87;0.07;22.71;123;Fructose-2,6-bisphosphatase TIGAR OS=Homo sapiens GN=TIGAR PE=1 SV=1;450.21;1.02e+004
PURB_HUMAN;1 (1);22.91;0.07;20.05;123;Transcriptional activator protein Pur-beta OS=Homo sapiens GN=PURB PE=1 SV=3;602.58;1.21e+004
KCD12_HUMAN;7 (7);280.84;0.07;2.70;123;BTB/POZ domain-containing protein KCTD12 OS=Homo sapiens GN=KCTD12 PE=1 SV=1;5108.07;1.38e+004
EF1A1_HUMAN;13 (13);610.25;0.07;2.68;123;Elongation factor 1-alpha 1 OS=Homo sapiens GN=EEF1A1 PE=1 SV=1;7.93e+004;2.13e+005
OTUB1_HUMAN;7 (7);262.43;0.07;2.66;123;Ubiquitin thioesterase OTUB1 OS=Homo sapiens GN=OTUB1 PE=1 SV=2;4233.88;1.13e+004
TB182_HUMAN;2 (2);49.91;0.07;2.65;123;182 kDa tankyrase-1-binding protein OS=Homo sapiens GN=TNKS1BP1 PE=1 SV=4;8010.44;3024.18
OD3L1_HUMAN;1 (1);22.82;0.07;2.58;123;Outer dense fiber protein 3-like protein 1 OS=Homo sapiens GN=ODF3L1 PE=2 SV=1;6300.21;1.63e+004
RINI_HUMAN;5 (5);353.62;0.07;2.54;123;Ribonuclease inhibitor OS=Homo sapiens GN=RNH1 PE=1 SV=2;5521.53;1.40e+004
ANGL4_HUMAN;1 (1);23.50;0.07;2.48;123;Angiopoietin-related protein 4 OS=Homo sapiens GN=ANGPTL4 PE=1 SV=2;3429.88;1382.49
TETN_HUMAN;10 (10);678.79;0.07;2.39;123;Tetranectin OS=Homo sapiens GN=CLEC3B PE=1 SV=3;2.02e+005;8.48e+004
ANXA5_HUMAN;14 (14);756.51;0.07;2.28;123;Annexin A5 OS=Homo sapiens GN=ANXA5 PE=1 SV=2;2.30e+004;5.24e+004
ZN772_HUMAN;1 (1);30.72;0.07;18.85;123;Zinc finger protein 772 OS=Homo sapiens GN=ZNF772 PE=2 SV=2;5.71e+004;3028.29
DAPL1_HUMAN;1 (1);27.60;0.07;18.65;123;Death-associated protein-like 1 OS=Homo sapiens GN=DAPL1 PE=1 SV=2;2.25e+004;1206.72
TCPB_HUMAN;7 (7);222.71;0.07;1.79;123;T-complex protein 1 subunit beta OS=Homo sapiens GN=CCT2 PE=1 SV=4;1.46e+004;8189.92
RAC1_HUMAN;1 (1);54.19;0.07;1.25;123;Ras-related C3 botulinum toxin substrate 1 OS=Homo sapiens GN=RAC1 PE=1 SV=1;4593.91;3674.01
CHD9_HUMAN;2 (2);59.48;0.06;9.62;123;Chromodomain-helicase-DNA-binding protein 9 OS=Homo sapiens GN=CHD9 PE=1 SV=2;8.88e+004;9224.29
VAT1_HUMAN;6 (6);178.20;0.06;7.87;123;Synaptic vesicle membrane protein VAT-1 homolog OS=Homo sapiens GN=VAT1 PE=1 SV=2;7.39e+006;9.39e+005
ALBU_HUMAN;19 (19);992.83;0.06;7.64;123;Serum albumin OS=Homo sapiens GN=ALB PE=1 SV=2;2.04e+007;2.67e+006
RECO_HUMAN;1 (1);16.51;0.06;7.22;123;Recoverin OS=Homo sapiens GN=RCVRN PE=1 SV=2;5751.68;796.90
DREB_HUMAN;1 (1);88.05;0.06;6.79;123;Drebrin OS=Homo sapiens GN=DBN1 PE=1 SV=4;1417.34;9622.77
RPAB2_HUMAN;1 (1);21.14;0.06;5.32;123;DNA-directed RNA polymerases I, II, and III subunit RPABC2 OS=Homo sapiens GN=POLR2F PE=1 SV=1;5.05e+005;9.49e+004
LRRC7_HUMAN;1 (1);17.02;0.06;5.32;123;Leucine-rich repeat-containing protein 7 OS=Homo sapiens GN=LRRC7 PE=1 SV=1;2.99e+006;5.63e+005
OXND1_HUMAN;1 (1);27.51;0.06;5.11;123;Oxidoreductase NAD-binding domain-containing protein 1 OS=Homo sapiens GN=OXNAD1 PE=1 SV=1;2.68e+005;5.25e+004
IBP5_HUMAN;18 (18);633.47;0.06;4.98;123;Insulin-like growth factor-binding protein 5 OS=Homo sapiens GN=IGFBP5 PE=1 SV=1;1.08e+006;2.17e+005
ECHM_HUMAN;1 (1);34.01;0.06;4.97;123;Enoyl-CoA hydratase, mitochondrial OS=Homo sapiens GN=ECHS1 PE=1 SV=4;1269.88;6310.08
IF2A_HUMAN;2 (2);80.09;0.06;4.66;123;Eukaryotic translation initiation factor 2 subunit 1 OS=Homo sapiens GN=EIF2S1 PE=1 SV=3;451.60;2103.17
CO3_HUMAN;16 (16);987.98;0.06;4.47;123;Complement C3 OS=Homo sapiens GN=C3 PE=1 SV=2;6.71e+004;1.50e+004
ENOPH_HUMAN;3 (3);107.67;0.06;4.29;123;Enolase-phosphatase E1 OS=Homo sapiens GN=ENOPH1 PE=1 SV=1;830.07;3563.17
CELR2_HUMAN;1 (1);20.81;0.06;37.45;123;Cadherin EGF LAG seven-pass G-type receptor 2 OS=Homo sapiens GN=CELSR2 PE=1 SV=1;8.95e+005;2.39e+004
BIG2_HUMAN;2 (2);41.81;0.06;3.95;123;Brefeldin A-inhibited guanine nucleotide-exchange protein 2 OS=Homo sapiens GN=ARFGEF2 PE=1 SV=3;6.31e+004;1.60e+004
XIRP1_HUMAN;1 (1);26.60;0.06;3.62;123;Xin actin-binding repeat-containing protein 1 OS=Homo sapiens GN=XIRP1 PE=1 SV=1;7058.34;1949.49
PXDC2_HUMAN;1 (1);40.66;0.06;3.55;123;Plexin domain-containing protein 2 OS=Homo sapiens GN=PLXDC2 PE=1 SV=1;2513.23;8920.04
NUCL_HUMAN;13 (13);529.32;0.06;3.49;123;Nucleolin OS=Homo sapiens GN=NCL PE=1 SV=3;5079.67;1.77e+004
ATRN_HUMAN;3 (3);80.60;0.06;3.44;123;Attractin OS=Homo sapiens GN=ATRN PE=1 SV=2;2.34e+004;8.04e+004
PGAM5_HUMAN;1 (1);17.21;0.06;3.44;123;Serine/threonine-protein phosphatase PGAM5, mitochondrial OS=Homo sapiens GN=PGAM5 PE=1 SV=2;8128.10;2362.63
PTBP1_HUMAN;10 (10);430.59;0.06;3.33;123;Polypyrimidine tract-binding protein 1 OS=Homo sapiens GN=PTBP1 PE=1 SV=1;1.07e+004;3.56e+004
6PGL_HUMAN;8 (8);261.79;0.06;3.32;123;6-phosphogluconolactonase OS=Homo sapiens GN=PGLS PE=1 SV=2;3.80e+004;1.26e+005
NP1L1_HUMAN;1 (1);42.13;0.06;3.29;123;Nucleosome assembly protein 1-like 1 OS=Homo sapiens GN=NAP1L1 PE=1 SV=1;492.69;1620.51
THIC_HUMAN;1 (1);16.48;0.06;212.57;123;Acetyl-CoA acetyltransferase, cytosolic OS=Homo sapiens GN=ACAT2 PE=1 SV=2;2.70;574.33
LUM_HUMAN;35 (35);1956.95;0.06;2.86;123;Lumican OS=Homo sapiens GN=LUM PE=1 SV=2;8.76e+005;2.51e+006
F10A1_HUMAN;3 (3);164.39;0.06;2.83;123;Hsc70-interacting protein OS=Homo sapiens GN=ST13 PE=1 SV=2;5833.12;1.65e+004
STIP1_HUMAN;5 (4);165.18;0.06;2.80;123;Stress-induced-phosphoprotein 1 OS=Homo sapiens GN=STIP1 PE=1 SV=1;2349.64;6580.47
ERAP1_HUMAN;4 (4);158.25;0.06;2.70;123;Endoplasmic reticulum aminopeptidase 1 OS=Homo sapiens GN=ERAP1 PE=1 SV=3;741.12;1999.75
GPC6_HUMAN;4 (2);154.35;0.06;2.57;123;Glypican-6 OS=Homo sapiens GN=GPC6 PE=1 SV=1;1713.04;4401.91
AHSA1_HUMAN;2 (2);48.37;0.06;2.53;123;Activator of 90 kDa heat shock protein ATPase homolog 1 OS=Homo sapiens GN=AHSA1 PE=1 SV=1;1544.44;3908.74
K1C13_HUMAN;9 (2);487.45;0.06;2.52;123;Keratin, type I cytoskeletal 13 OS=Homo sapiens GN=KRT13 PE=1 SV=4;9777.52;3885.58
CATB_HUMAN;13 (13);653.16;0.06;2.45;123;Cathepsin B OS=Homo sapiens GN=CTSB PE=1 SV=3;3.20e+004;7.83e+004
CO8A2_HUMAN;5 (5);209.25;0.06;2.42;123;Collagen alpha-2(VIII) chain OS=Homo sapiens GN=COL8A2 PE=1 SV=2;8972.11;2.17e+004
PRDX2_HUMAN;6 (4);333.17;0.06;2.31;123;Peroxiredoxin-2 OS=Homo sapiens GN=PRDX2 PE=1 SV=5;5.19e+004;1.20e+005
TPD54_HUMAN;4 (4);267.80;0.06;2.30;123;Tumor protein D54 OS=Homo sapiens GN=TPD52L2 PE=1 SV=2;3.93e+004;1.71e+004
NIBL1_HUMAN;3 (3);86.37;0.06;2.19;123;Niban-like protein 1 OS=Homo sapiens GN=FAM129B PE=1 SV=3;1.24e+004;5655.34
PPIC_HUMAN;4 (4);179.80;0.06;2.03;123;Peptidyl-prolyl cis-trans isomerase C OS=Homo sapiens GN=PPIC PE=1 SV=1;3.50e+004;7.10e+004
CO6A1_HUMAN;52 (52);3552.44;0.06;2.01;123;Collagen alpha-1(VI) chain OS=Homo sapiens GN=COL6A1 PE=1 SV=3;6.51e+005;1.31e+006
GNS_HUMAN;8 (8);403.42;0.06;2.00;123;N-acetylglucosamine-6-sulfatase OS=Homo sapiens GN=GNS PE=1 SV=3;2.43e+004;4.86e+004
HNRPR_HUMAN;3 (1);92.09;0.06;19.23;123;Heterogeneous nuclear ribonucleoprotein R OS=Homo sapiens GN=HNRNPR PE=1 SV=1;1.03e+005;5335.31
HNRPQ_HUMAN;6 (4);301.48;0.06;17.32;123;Heterogeneous nuclear ribonucleoprotein Q OS=Homo sapiens GN=SYNCRIP PE=1 SV=2;4.03e+005;2.33e+004
RAN_HUMAN;1 (1);31.23;0.06;1.98;123;GTP-binding nuclear protein Ran OS=Homo sapiens GN=RAN PE=1 SV=3;4994.12;9868.77
PCOC2_HUMAN;3 (3);72.96;0.06;1.96;123;Procollagen C-endopeptidase enhancer 2 OS=Homo sapiens GN=PCOLCE2 PE=1 SV=1;4620.21;2360.15
N4BP1_HUMAN;1 (1);16.05;0.06;1.96;123;NEDD4-binding protein 1 OS=Homo sapiens GN=N4BP1 PE=1 SV=4;4.00e+004;2.04e+004
GSTP1_HUMAN;20 (20);1276.36;0.06;1.94;123;Glutathione S-transferase P OS=Homo sapiens GN=GSTP1 PE=1 SV=2;1.06e+005;2.05e+005
GRDN_HUMAN;4 (4);83.35;0.06;1.91;123;Girdin OS=Homo sapiens GN=CCDC88A PE=1 SV=2;5.88e+004;3.08e+004
PIN1_HUMAN;2 (2);70.01;0.06;1.91;123;Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1 OS=Homo sapiens GN=PIN1 PE=1 SV=1;1773.42;3386.94
GALNS_HUMAN;7 (7);413.48;0.06;1.71;123;N-acetylgalactosamine-6-sulfatase OS=Homo sapiens GN=GALNS PE=1 SV=1;2.07e+004;3.55e+004
OR4F4_HUMAN;1 (1);32.52;0.06;1.67;123;Olfactory receptor 4F4 OS=Homo sapiens GN=OR4F4 PE=2 SV=2;3208.97;5374.74
SNX12_HUMAN;6 (4);286.84;0.06;1.59;123;Sorting nexin-12 OS=Homo sapiens GN=SNX12 PE=1 SV=3;6267.49;9936.89
FLNB_HUMAN;50 (44);2296.36;0.06;1.54;123;Filamin-B OS=Homo sapiens GN=FLNB PE=1 SV=2;1.34e+004;2.06e+004
TPR_HUMAN;3 (3);102.35;0.05;9.93;123;Nucleoprotein TPR OS=Homo sapiens GN=TPR PE=1 SV=3;3.97e+004;4001.53
CBPA4_HUMAN;3 (2);69.70;0.05;7.95;123;Carboxypeptidase A4 OS=Homo sapiens GN=CPA4 PE=1 SV=2;334.78;2659.89
HPRT_HUMAN;5 (5);185.76;0.05;7.56;123;Hypoxanthine-guanine phosphoribosyltransferase OS=Homo sapiens GN=HPRT1 PE=1 SV=2;1274.95;9643.79
SEM5A_HUMAN;2 (2);96.32;0.05;7.00;123;Semaphorin-5A OS=Homo sapiens GN=SEMA5A PE=1 SV=3;373.31;2612.95
PSA7_HUMAN;9 (9);474.14;0.05;6.81;123;Proteasome subunit alpha type-7 OS=Homo sapiens GN=PSMA7 PE=1 SV=1;7028.37;4.79e+004
LRP1_HUMAN;17 (17);593.55;0.05;6.16;123;Prolow-density lipoprotein receptor-related protein 1 OS=Homo sapiens GN=LRP1 PE=1 SV=2;4.75e+005;7.70e+004
PP1B_HUMAN;2 (2);74.88;0.05;6.16;123;Serine/threonine-protein phosphatase PP1-beta catalytic subunit OS=Homo sapiens GN=PPP1CB PE=1 SV=3;1138.84;7018.92
TY3H_HUMAN;1 (1);18.04;0.05;6.01;123;Tyrosine 3-monooxygenase OS=Homo sapiens GN=TH PE=1 SV=5;9.66e+005;1.61e+005
ASAP3_HUMAN;2 (2);17.71;0.05;5.69;123;Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 3 OS=Homo sapiens GN=ASAP3 PE=1 SV=1;5.81e+004;1.02e+004
IQGA1_HUMAN;20 (20);815.29;0.05;5.37;123;Ras GTPase-activating-like protein IQGAP1 OS=Homo sapiens GN=IQGAP1 PE=1 SV=1;8.01e+004;1.49e+004
BANK1_HUMAN;1 (1);21.68;0.05;5.35;123;B-cell scaffold protein with ankyrin repeats OS=Homo sapiens GN=BANK1 PE=1 SV=3;1.03e+005;1.92e+004
MMS22_HUMAN;1 (1);28.79;0.05;5.05;123;Protein MMS22-like OS=Homo sapiens GN=MMS22L PE=1 SV=3;2844.22;563.54
APRG1_HUMAN;1 (1);25.40;0.05;49.39;123;AP20 region protein 1 OS=Homo sapiens GN=APRG1 PE=2 SV=2;966.94;19.58
MT1F_HUMAN;1 (1);20.97;0.05;48.46;123;Metallothionein-1F OS=Homo sapiens GN=MT1F PE=1 SV=1;1.28e+006;2.63e+004
ECHD1_HUMAN;1 (1);21.26;0.05;41.59;123;Ethylmalonyl-CoA decarboxylase OS=Homo sapiens GN=ECHDC1 PE=1 SV=2;237.12;9862.51
K1C14_HUMAN;10 (4);550.56;0.05;4.94;123;Keratin, type I cytoskeletal 14 OS=Homo sapiens GN=KRT14 PE=1 SV=4;2.66e+004;1.32e+005
SH3R1_HUMAN;3 (3);58.12;0.05;4.77;123;E3 ubiquitin-protein ligase SH3RF1 OS=Homo sapiens GN=SH3RF1 PE=1 SV=2;7540.71;1580.44
DDT4L_HUMAN;1 (1);17.68;0.05;4.77;123;DNA damage-inducible transcript 4-like protein OS=Homo sapiens GN=DDIT4L PE=2 SV=1;6164.70;2.94e+004
RL10A_HUMAN;2 (2);65.65;0.05;4.72;123;60S ribosomal protein L10a OS=Homo sapiens GN=RPL10A PE=1 SV=2;3501.31;1.65e+004
CALX_HUMAN;1 (1);15.87;0.05;4.66;123;Calnexin OS=Homo sapiens GN=CANX PE=1 SV=2;1.25e+006;2.68e+005
CASZ1_HUMAN;3 (3);52.64;0.05;4.44;123;Zinc finger protein castor homolog 1 OS=Homo sapiens GN=CASZ1 PE=1 SV=4;4.58e+004;1.03e+004
UBP21_HUMAN;1 (1);22.51;0.05;4.09;123;Ubiquitin carboxyl-terminal hydrolase 21 OS=Homo sapiens GN=USP21 PE=1 SV=1;620.06;2533.55
CSN5_HUMAN;1 (1);29.98;0.05;31.41;123;COP9 signalosome complex subunit 5 OS=Homo sapiens GN=COPS5 PE=1 SV=4;20.62;647.62
